"Colname" "CGR.ID" "External.ID" "SampleType" "Source.Material" "Extraction.Batch.ID" "Source.PCR.Plate" "Run.ID" "Project.ID" "Collection.Method" "Instrument" "Month" "Storage" "Subject"
"SC240978" "SP2001_OMNI_V03_MB0000601" "SP2001_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_F_04" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2001"
"SC240979" "SP2002_OMNI_V03_MB0000601" "SP2002_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_E_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2002"
"SC240980" "SP2003_OMNI_V03_MB0000601" "SP2003_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_G_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2003"
"SC240981" "SP2004_OMNI_V03_MB0000601" "SP2004_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_C_04" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2004"
"SC240982" "SP2005_OMNI_V03_MB0000601" "SP2005_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_F_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2005"
"SC240983" "SP2006_OMNI_V03_MB0000601" "SP2006_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_E_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2006"
"SC240984" "SP2007_OMNI_V03_MB0000601" "SP2007_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_H_04" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2007"
"SC240985" "SP2008_OMNI_V03_MB0000601" "SP2008_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_D_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2008"
"SC240986" "SP2009_OMNI_V03_MB0000601" "SP2009_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_G_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2009"
"SC240987" "SP2010_OMNI_V03_MB0000601" "SP2010_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_C_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2010"
